Orgs,Months,Region,Years,Cost
Walt Disney Studios ,Drama  ,North  ,2008,1
20th Fox,Drama  ,South  ,2008,1
Other,Adventure,North  ,2008,1
Sony Pictures ,Comedy  ,North  ,2008,1
Walt Disney Studios ,Musical - Music,South  ,2008,1
Sony Pictures ,Drama  ,North  ,2008,1
Universal Pictures ,Thriller,North  ,2008,1
Other,Comedy  ,South  ,2008,1
Other,Comedy  ,North  ,2008,1
Other,Drama  ,North  ,2008,1
Other,Comedy  ,South  ,2008,1
Other,Adventure,South  ,2008,1
Walt Disney Studios ,Animation  ,South  ,2008,1
Other,Drama  ,North  ,2008,1
Other,Drama  ,North  ,2008,1
Other,Thriller,South  ,2008,1
Warner Bros. Pictures ,Family,South  ,2008,1
Universal Pictures ,Drama  ,North  ,2008,1
20th Fox,Romance,South  ,2008,1
Other,Comedy  ,North  ,2008,1
Sony Pictures ,Musical - Music,North  ,2008,1
Other,Drama  ,South  ,2008,1
20th Fox,Adventure,South  ,2008,1
Paramount Pictures ,Thriller,North  ,2008,1
Other,Thriller,North  ,2008,1
Warner Bros. Pictures ,Drama  ,North  ,2008,1
Other,Drama  ,North  ,2008,1
Other,Drama  ,East  ,2008,1
Other,Drama  ,North  ,2008,1
Universal Pictures ,Animation  ,South  ,2008,1
Sony Pictures ,Drama  ,South  ,2008,1
Warner Bros. Pictures ,Comedy  ,South  ,2008,1
Paramount Pictures ,Drama  ,South  ,2008,1
20th Fox,Family,South  ,2008,1
Walt Disney Studios ,Adventure,South  ,2008,1
Other,Adventure,South  ,2008,1
Universal Pictures ,Drama  ,South  ,2008,1
Other,Romance,South  ,2008,1
Paramount Pictures ,Drama  ,East  ,2008,1
Other,Drama  ,East  ,2008,1
20th Fox,Romance,South  ,2008,1
Sony Pictures ,Drama  ,South  ,2008,1
Other,Thriller,South  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Historical,North  ,2009,1
Other,Thriller,South  ,2009,1
Sony Pictures ,Comedy  ,South  ,2009,1
Universal Pictures ,Family,South  ,2009,1
Other,Musical - Music,South  ,2009,1
Other,Documentary  ,East  ,2009,1
Sony Pictures ,Adventure,South  ,2009,1
Warner Bros. Pictures ,Family,South  ,2009,1
Other,Adventure,North  ,2009,1
Other,Thriller,North  ,2009,1
Other,Thriller,North  ,2009,1
Universal Pictures ,Horror,South  ,2009,1
Other,Comedy  ,South  ,2009,1
20th Fox,Adventure,South  ,2009,1
Sony Pictures ,Drama  ,North  ,2009,1
Universal Pictures ,Animation  ,South  ,2009,1
Sony Pictures ,Family,South  ,2009,1
Warner Bros. Pictures ,Romance,South  ,2009,1
Other,Thriller,South  ,2009,1
Other,Adventure,North  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Thriller,East  ,2009,1
Warner Bros. Pictures ,Documentary  ,North  ,2009,1
Other,Comedy  ,South  ,2009,1
Sony Pictures ,Comedy  ,South  ,2009,1
Other,Family,North  ,2009,1
Other,Drama  ,East  ,2009,1
20th Fox,Adventure,North  ,2009,1
Walt Disney Studios ,Documentary  ,North  ,2009,1
Sony Pictures ,Drama  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Thriller,North  ,2009,1
Other,Horror,North  ,2009,1
Other,Comedy  ,South  ,2009,1
Other,Adventure,East  ,2009,1
Other,Documentary  ,East  ,2009,1
Universal Pictures ,Comedy  ,South  ,2009,1
Other,Comedy  ,South  ,2009,1
Other,Drama  ,South  ,2009,1
Universal Pictures ,Drama  ,South  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Documentary  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Universal Pictures ,Drama  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Paramount Pictures ,Horror,South  ,2009,1
20th Fox,Thriller,South  ,2009,1
Other,Horror,South  ,2009,1
Other,Documentary  ,North  ,2009,1
Other,Documentary  ,East  ,2009,1
Paramount Pictures ,Romance,South  ,2009,1
Other,Comedy  ,East  ,2009,1
Other,Thriller,East  ,2009,1
Other,Drama  ,East  ,2009,1
Sony Pictures ,Drama  ,East  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Thriller,North  ,2009,1
Sony Pictures ,Drama  ,North  ,2009,1
Other,Animation  ,North  ,2009,1
Warner Bros. Pictures ,Comedy  ,South  ,2009,1
20th Fox,Adventure,South  ,2009,1
Walt Disney Studios ,Musical - Music,South  ,2009,1
Other,Documentary  ,East  ,2009,1
Other,Documentary  ,East  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Warner Bros. Pictures ,Comedy  ,South  ,2009,1
Universal Pictures ,Thriller,South  ,2009,1
Other,Adventure,South  ,2009,1
Other,Comedy  ,East  ,2009,1
Other,Drama  ,East  ,2009,1
Sony Pictures ,Documentary  ,East  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Adventure,North  ,2009,1
Walt Disney Studios ,Documentary  ,South  ,2009,1
Other,Drama  ,East  ,2009,1
Sony Pictures ,Thriller,South  ,2009,1
Universal Pictures ,Drama  ,South  ,2009,1
Other,Adventure,South  ,2009,1
Other,Documentary  ,East  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Adventure,East  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Documentary  ,North  ,2009,1
Sony Pictures ,Documentary  ,North  ,2009,1
Other,Adventure,North  ,2009,1
Warner Bros. Pictures ,Romance,South  ,2009,1
20th Fox,Adventure,South  ,2009,1
Other,Adventure,South  ,2009,1
Other,Documentary  ,East  ,2009,1
Other,Thriller,East  ,2009,1
Other,Drama  ,East  ,2009,1
Universal Pictures ,Drama  ,East  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Adventure,South  ,2009,1
Paramount Pictures ,Adventure,South  ,2009,1
Sony Pictures ,Drama  ,East  ,2009,1
Sony Pictures ,Drama  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Documentary  ,North  ,2009,1
Sony Pictures ,Thriller,South  ,2009,1
Other,Thriller,East  ,2009,1
Other,Drama  ,East  ,2009,1
Sony Pictures ,Comedy  ,North  ,2009,1
Paramount Pictures ,Comedy  ,South  ,2009,1
Sony Pictures ,Comedy  ,North  ,2009,1
Walt Disney Studios ,Documentary  ,North  ,2009,1
Other,Documentary  ,East  ,2009,1
Universal Pictures ,Thriller,South  ,2009,1
Other,Drama  ,North  ,2009,1
Universal Pictures ,Adventure,South  ,2009,1
Warner Bros. Pictures ,Comedy  ,South  ,2009,1
Universal Pictures ,Comedy  ,North  ,2009,1
Other,Thriller,North  ,2009,1
Paramount Pictures ,Comedy  ,South  ,2009,1
Sony Pictures ,Adventure,East  ,2009,1
Other,Documentary  ,North  ,2009,1
Other,Adventure,North  ,2009,1
Walt Disney Studios ,Romance,South  ,2009,1
Sony Pictures ,Romance,East  ,2009,1
Paramount Pictures ,Adventure,South  ,2009,1
Warner Bros. Pictures ,Drama  ,South  ,2009,1
Paramount Pictures ,Drama  ,North  ,2009,1
Universal Pictures ,Thriller,South  ,2009,1
20th Fox,Animation  ,South  ,2009,1
Other,Romance,North  ,2009,1
Other,Comedy  ,North  ,2009,1
20th Fox,Comedy  ,South  ,2009,1
Universal Pictures ,Comedy  ,South  ,2009,1
Sony Pictures ,Documentary  ,North  ,2009,1
Warner Bros. Pictures ,Adventure,South  ,2009,1
Other,Thriller,East  ,2009,1
Other,Romance,North  ,2009,1
Sony Pictures ,Romance,South  ,2009,1
Warner Bros. Pictures ,Thriller,South  ,2009,1
Walt Disney Studios ,Adventure,South  ,2009,1
Other,Romance,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
20th Fox,Adventure,South  ,2009,1
Universal Pictures ,Comedy  ,South  ,2009,1
Other,Thriller,North  ,2009,1
Sony Pictures ,Drama  ,North  ,2009,1
Universal Pictures ,Thriller,North  ,2009,1
Paramount Pictures ,Adventure,South  ,2009,1
Sony Pictures ,Comedy  ,South  ,2009,1
Other,Thriller,South  ,2009,1
Other,Horror,East  ,2009,1
Other,Comedy  ,East  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Romance,South  ,2009,1
Paramount Pictures ,Comedy  ,South  ,2009,1
Sony Pictures ,Adventure,South  ,2009,1
Warner Bros. Pictures ,Romance,South  ,2009,1
Walt Disney Studios ,Adventure,South  ,2009,1
Other,Documentary  ,East  ,2009,1
Other,Comedy  ,North  ,2009,1
Sony Pictures ,Documentary  ,North  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Adventure,South  ,2009,1
Warner Bros. Pictures ,Comedy  ,South  ,2009,1
Walt Disney Studios ,Drama  ,South  ,2009,1
Other,Comedy  ,South  ,2009,1
Other,Comedy  ,East  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Comedy  ,East  ,2009,1
Paramount Pictures ,Comedy  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Documentary  ,North  ,2009,1
Other,Musical - Music,North  ,2009,1
Universal Pictures ,Comedy  ,East  ,2009,1
Warner Bros. Pictures ,Thriller,South  ,2009,1
Other,Thriller,South  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Documentary  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Paramount Pictures ,Comedy  ,South  ,2009,1
Other,Adventure,South  ,2009,1
20th Fox,Romance,South  ,2009,1
Other,Drama  ,East  ,2009,1
Paramount Pictures ,Thriller,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Universal Pictures ,Adventure,South  ,2009,1
Walt Disney Studios ,Documentary  ,East  ,2009,1
Other,Documentary  ,East  ,2009,1
Warner Bros. Pictures ,Thriller,South  ,2009,1
Other,Comedy  ,South  ,2009,1
Other,Thriller,South  ,2009,1
Other,Documentary  ,East  ,2009,1
Other,Musical - Music,North  ,2009,1
Other,Thriller,North  ,2009,1
Other,Romance,East  ,2009,1
Warner Bros. Pictures ,Thriller,South  ,2009,1
Sony Pictures ,Family,South  ,2009,1
Universal Pictures ,Drama  ,South  ,2009,1
20th Fox,Horror,South  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Documentary  ,East  ,2009,1
Other,Adventure,South  ,2009,1
Other,Musical - Music,South  ,2009,1
Walt Disney Studios ,Adventure,South  ,2009,1
Paramount Pictures ,Thriller,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Sony Pictures ,Historical,North  ,2009,1
Other,Documentary  ,North  ,2009,1
Paramount Pictures ,Drama  ,North  ,2009,1
Other,Comedy  ,South  ,2009,1
Walt Disney Studios ,Adventure,South  ,2009,1
Warner Bros. Pictures ,Comedy  ,South  ,2009,1
Sony Pictures ,Thriller,South  ,2009,1
Walt Disney Studios ,Family,South  ,2009,1
Universal Pictures ,Comedy  ,North  ,2009,1
Other,Documentary  ,East  ,2009,1
Universal Pictures ,Comedy  ,South  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Documentary  ,East  ,2009,1
Other,Adventure,East  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Adventure,North  ,2009,1
Other,Adventure,North  ,2009,1
Other,Documentary  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Sony Pictures ,Drama  ,North  ,2009,1
Sony Pictures ,Drama  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Warner Bros. Pictures ,Family,South  ,2009,1
Other,Thriller,South  ,2009,1
Sony Pictures ,Thriller,South  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Universal Pictures ,Adventure,South  ,2009,1
Other,Adventure,South  ,2009,1
Other,Historical,South  ,2009,1
Other,Horror,South  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Adventure,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Sony Pictures ,Documentary  ,South  ,2009,1
Other,Comedy  ,East  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Comedy  ,East  ,2009,1
Other,Thriller,North  ,2009,1
Other,Horror,North  ,2009,1
Other,Documentary  ,North  ,2009,1
Walt Disney Studios ,Family,South  ,2009,1
Other,Comedy  ,South  ,2009,1
Warner Bros. Pictures ,Thriller,South  ,2009,1
Universal Pictures ,Thriller,South  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Romance,North  ,2009,1
Sony Pictures ,Adventure,South  ,2009,1
Universal Pictures ,Comedy  ,South  ,2009,1
Other,Thriller,East  ,2009,1
Other,Family,East  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Adventure,East  ,2009,1
Sony Pictures ,Animation  ,South  ,2009,1
Warner Bros. Pictures ,Comedy  ,South  ,2009,1
Other,Drama  ,South  ,2009,1
Sony Pictures ,Thriller,East  ,2009,1
Other,Adventure,North  ,2009,1
Warner Bros. Pictures ,Adventure,South  ,2009,1
Walt Disney Studios ,Adventure,South  ,2009,1
Walt Disney Studios ,Animation  ,East  ,2009,1
Other,Thriller,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Comedy  ,East  ,2009,1
Paramount Pictures ,Drama  ,South  ,2009,1
Sony Pictures ,Thriller,South  ,2009,1
Other,Drama  ,South  ,2009,1
Other,Documentary  ,East  ,2009,1
Paramount Pictures ,Drama  ,North  ,2009,1
Other,Horror,North  ,2009,1
Other,Documentary  ,North  ,2009,1
Warner Bros. Pictures ,Drama  ,South  ,2009,1
Sony Pictures ,Comedy  ,South  ,2009,1
Paramount Pictures ,Thriller,East  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Documentary  ,North  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Comedy  ,North  ,2009,1
Other,Adventure,East  ,2009,1
Other,Foreign,East  ,2009,1
Other,Musical - Music,East  ,2009,1
20th Fox,Adventure,South  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Thriller,North  ,2009,1
Other,Thriller,North  ,2009,1
20th Fox,Comedy  ,South  ,2009,1
Universal Pictures ,Drama  ,South  ,2009,1
Warner Bros. Pictures ,Adventure,South  ,2009,1
Sony Pictures ,Adventure,North  ,2009,1
Sony Pictures ,Drama  ,North  ,2009,1
Universal Pictures ,Comedy  ,South  ,2009,1
Other,Romance,South  ,2009,1
Other,Horror,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Adventure,North  ,2010,1
Other,Comedy  ,North  ,2010,1
Other,Romance,North  ,2010,1
Other,Drama  ,South  ,2010,1
Other,Adventure,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Sony Pictures ,Drama  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Sony Pictures ,Adventure,South  ,2010,1
20th Fox,Comedy  ,South  ,2010,1
Other,Drama  ,South  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Drama  ,North  ,2010,1
Walt Disney Studios ,Romance,South  ,2010,1
Warner Bros. Pictures ,Thriller,South  ,2010,1
Other,Romance,East  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Horror,North  ,2010,1
Warner Bros. Pictures ,Drama  ,North  ,2010,1
Sony Pictures ,Romance,South  ,2010,1
Other,Thriller,South  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Adventure,North  ,2010,1
20th Fox,Adventure,South  ,2010,1
Universal Pictures ,Horror,South  ,2010,1
Warner Bros. Pictures ,Romance,South  ,2010,1
Other,Drama  ,North  ,2010,1
Paramount Pictures ,Thriller,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Romance,North  ,2010,1
Other,Horror,South  ,2010,1
Warner Bros. Pictures ,Thriller,South  ,2010,1
Other,Thriller,North  ,2010,1
Sony Pictures ,Thriller,North  ,2010,1
Other,Thriller,South  ,2010,1
Walt Disney Studios ,Family,South  ,2010,1
Other,Animation  ,East  ,2010,1
Paramount Pictures ,Comedy  ,South  ,2010,1
Universal Pictures ,Adventure,South  ,2010,1
Other,Romance,South  ,2010,1
Other,Comedy  ,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Thriller,East  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Comedy  ,East  ,2010,1
20th Fox,Family,South  ,2010,1
Sony Pictures ,Comedy  ,South  ,2010,1
Universal Pictures ,Thriller,South  ,2010,1
Other,Romance,East  ,2010,1
Other,Family,East  ,2010,1
Universal Pictures ,Comedy  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Warner Bros. Pictures ,Documentary  ,North  ,2010,1
Other,Adventure,North  ,2010,1
Other,Thriller,North  ,2010,1
Other,Comedy  ,South  ,2010,1
Paramount Pictures ,Animation  ,South  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Romance,East  ,2010,1
Walt Disney Studios ,Documentary  ,North  ,2010,1
Sony Pictures ,Thriller,North  ,2010,1
Other,Thriller,North  ,2010,1
Walt Disney Studios ,Romance,South  ,2010,1
Warner Bros. Pictures ,Adventure,South  ,2010,1
Other,Comedy  ,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Adventure,East  ,2010,1
20th Fox,Romance,South  ,2010,1
Other,Drama  ,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Thriller,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Adventure,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Thriller,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Drama  ,North  ,2010,1
Sony Pictures ,Thriller,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Comedy  ,North  ,2010,1
Walt Disney Studios ,Drama  ,South  ,2010,1
Warner Bros. Pictures ,Adventure,South  ,2010,1
Other,Comedy  ,South  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Comedy  ,North  ,2010,1
Other,Comedy  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Comedy  ,South  ,2010,1
Warner Bros. Pictures ,Thriller,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Horror,East  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Adventure,North  ,2010,1
Sony Pictures ,Comedy  ,North  ,2010,1
Other,Musical - Music,North  ,2010,1
Other,Drama  ,East  ,2010,1
Paramount Pictures ,Adventure,South  ,2010,1
Other,Drama  ,East  ,2010,1
Universal Pictures ,Documentary  ,North  ,2010,1
Sony Pictures ,Drama  ,North  ,2010,1
Other,Thriller,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Romance,South  ,2010,1
Universal Pictures ,Adventure,South  ,2010,1
Other,Romance,South  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Paramount Pictures ,Animation  ,South  ,2010,1
Other,Comedy  ,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Thriller,East  ,2010,1
Other,Thriller,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Warner Bros. Pictures ,Romance,South  ,2010,1
Walt Disney Studios ,Drama  ,South  ,2010,1
Sony Pictures ,Comedy  ,North  ,2010,1
Other,Horror,North  ,2010,1
Other,Romance,North  ,2010,1
Other,Romance,North  ,2010,1
20th Fox,Family,South  ,2010,1
Other,Thriller,South  ,2010,1
Warner Bros. Pictures ,Drama  ,South  ,2010,1
Universal Pictures ,Comedy  ,South  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Documentary  ,North  ,2010,1
Sony Pictures ,Adventure,South  ,2010,1
20th Fox,Adventure,South  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Sony Pictures ,Drama  ,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Warner Bros. Pictures ,Adventure,South  ,2010,1
Walt Disney Studios ,Animation  ,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
20th Fox,Comedy  ,South  ,2010,1
Sony Pictures ,Comedy  ,South  ,2010,1
Other,Drama  ,East  ,2010,1
Sony Pictures ,Drama  ,East  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Walt Disney Studios ,Documentary  ,East  ,2010,1
Other,Thriller,South  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Romance,North  ,2010,1
Paramount Pictures ,Adventure,South  ,2010,1
Other,Documentary  ,East  ,2010,1
Paramount Pictures ,Musical - Music,North  ,2010,1
Universal Pictures ,Comedy  ,South  ,2010,1
20th Fox,Thriller,South  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Thriller,North  ,2010,1
Universal Pictures ,Comedy  ,North  ,2010,1
Other,Horror,North  ,2010,1
Walt Disney Studios ,Adventure,South  ,2010,1
Warner Bros. Pictures ,Adventure,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Documentary  ,East  ,2010,1
Sony Pictures ,Drama  ,South  ,2010,1
20th Fox,Family,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Documentary  ,North  ,2010,1
Warner Bros. Pictures ,Family,South  ,2010,1
Universal Pictures ,Horror,South  ,2010,1
Paramount Pictures ,Comedy  ,South  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Sony Pictures ,Drama  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Thriller,North  ,2010,1
Walt Disney Studios ,Musical - Music,South  ,2010,1
Sony Pictures ,Comedy  ,South  ,2010,1
Sony Pictures ,Comedy  ,East  ,2010,1
Sony Pictures ,Drama  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Warner Bros. Pictures ,Comedy  ,North  ,2010,1
Paramount Pictures ,Comedy  ,North  ,2010,1
Other,Thriller,North  ,2010,1
Other,Thriller,North  ,2010,1
Walt Disney Studios ,Documentary  ,North  ,2010,1
Other,Thriller,North  ,2010,1
Other,Comedy  ,North  ,2010,1
Sony Pictures ,Drama  ,South  ,2010,1
Other,Adventure,South  ,2010,1
Universal Pictures ,Comedy  ,South  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Walt Disney Studios ,Animation  ,North  ,2010,1
Sony Pictures ,Drama  ,North  ,2010,1
Other,Drama  ,North  ,2010,1
20th Fox,Comedy  ,South  ,2010,1
Other,Drama  ,North  ,2010,1
Warner Bros. Pictures ,Comedy  ,South  ,2010,1
Universal Pictures ,Family,South  ,2010,1
Other,Horror,South  ,2010,1
Walt Disney Studios ,Comedy  ,South  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Drama  ,North  ,2010,1
Sony Pictures ,Adventure,South  ,2010,1
Other,Thriller,South  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Thriller,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Drama  ,North  ,2010,1
Universal Pictures ,Thriller,South  ,2010,1
Other,Family,East  ,2010,1
20th Fox,Adventure,South  ,2010,1
Warner Bros. Pictures ,Comedy  ,South  ,2010,1
Sony Pictures ,Drama  ,East  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Comedy  ,North  ,2010,1
Other,Romance,North  ,2010,1
Sony Pictures ,Adventure,South  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Romance,East  ,2010,1
Paramount Pictures ,Romance,East  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Romance,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Musical - Music,North  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Romance,East  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Adventure,South  ,2010,1
Universal Pictures ,Thriller,South  ,2010,1
Warner Bros. Pictures ,Thriller,South  ,2010,1
Sony Pictures ,Comedy  ,South  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Thriller,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Comedy  ,North  ,2010,1
Other,Romance,North  ,2010,1
Other,Thriller,North  ,2010,1
Sony Pictures ,Drama  ,North  ,2010,1
Walt Disney Studios ,Comedy  ,South  ,2010,1
20th Fox,Drama  ,South  ,2010,1
Sony Pictures ,Romance,South  ,2010,1
Warner Bros. Pictures ,Animation  ,South  ,2010,1
Other,Documentary  ,East  ,2010,1
Paramount Pictures ,Documentary  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Foreign,North  ,2010,1
Paramount Pictures ,Horror,South  ,2010,1
Sony Pictures ,Adventure,South  ,2010,1
Other,Thriller,South  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Adventure,East  ,2010,1
Other,Romance,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Horror,North  ,2010,1
Other,Thriller,North  ,2010,1
Walt Disney Studios ,Drama  ,South  ,2010,1
Universal Pictures ,Drama  ,South  ,2010,1
Warner Bros. Pictures ,Drama  ,South  ,2010,1
Other,Horror,South  ,2010,1
Other,Thriller,East  ,2010,1
Sony Pictures ,Documentary  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Thriller,East  ,2010,1
Other,Comedy  ,East  ,2010,1
Other,Comedy  ,North  ,2010,1
Sony Pictures ,Comedy  ,North  ,2010,1
Other,Horror,North  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Adventure,South  ,2010,1
Paramount Pictures ,Comedy  ,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Drama  ,East  ,2010,1
Warner Bros. Pictures ,Thriller,North  ,2010,1
Other,Animation  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Historical,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Musical - Music,North  ,2010,1
Paramount Pictures ,Horror,South  ,2010,1
Other,Drama  ,East  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Adventure,North  ,2010,1
Other,Horror,South  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Adventure,East  ,2010,1
Other,Drama  ,North  ,2010,1
Other,Documentary  ,North  ,2010,1
Other,Thriller,North  ,2010,1
Paramount Pictures ,Animation  ,South  ,2010,1
Other,Drama  ,South  ,2010,1
Warner Bros. Pictures ,Comedy  ,South  ,2010,1
Other,Documentary  ,East  ,2010,1
Other,Adventure,East  ,2010,1
